id,category,speaker,image,lines,request,to,judgement,
6001,choice,g,,"""#$%^&*^#!""",TRUE,7001,,
7001,text,g,,"She still like to tell me about her little troubles in her daily life, just like she used to.",FALSE,7002,,
7002,text,g,,I believe a clever girl like her should be able to handle these little affairs on her own.,FALSE,7003,,
7003,text,g,,"Although, she always seems to be upset about them.",FALSE,7004,,
7004,wechat,f,,My boss solded me today.,FALSE,7005,,
7005,wechat,f,,I just did what he told me to.,FALSE,7006,,
7006,wechat,f,,It shouldn't have become my fault.,FALSE,7007,,
7007,choice,m,,Your bosses take advantage of you.,FALSE,7008,,
7007,choice,m,,Maybe it was just a misunderstanding.,FALSE,7008,,
7007,choice,m,,,TRUE,,,
7008,text,f,,"""……""",FALSE,8001,,
,,,,,,,,
8001,text,g,,When you live together you start to see some flaws that you didn't notice at first,FALSE,8002,,
8002,text,g,,Troubles always arise between couples.,FALSE,8003,,
8003,text,g,,"Either I bow to her, or she bows to be, there is no third anwser, is there?",FALSE,8004,,
8004,text,g,,When I came home from work she was watching her favourite TV series.,FALSE,8005,,
8005,text,g,,Empty food boxes and tissues are everywhere.,FALSE,8006,,
8006,choice,g,,"I'm so tired, I pretend to not notice.",FALSE,9001,,
8006,choice,g,,"Oh God, I guess I have to do it all my self.",FALSE,9001,,
8006,choice,g,,,TRUE,,,
,,,,,,,,
,,,,,,,,
9001,end,g,,Time goes by so fast. It’s already been three years since we met…,,,,
,,g,,"Three years ago, we met at Game Jame…",,,,
,,g,,Actually I noticed you glance a few times before you talked to me…,,,,
,,bad,,"To be honest, I didn't feel comfortable when you first talked to me. Maybe you shouldn't act more natural…",,,,
,,g,,We started chatting more with each other after that…,,,,
,,g,,Gradually you became the one I talked to the most…,,,,
,,g,,Do you still remember our first date?,,,,
,,good,,"You brought me to my favourite movie, so I;m assuming that means you read my Twitter right?",,,,
,,bad,,"But you should read it more carefully, I think it'll give you a hint of what we should have for dinner…",,,,
,,g,,Do you remmeber the first time we held hands,,,,
,,bad,,"I felt that on a beautiful night like that, words would have only ruined the mood…",,,,
,,g,,We had more time to get to know each other afterwards…,,,,
,,g,,"We talked about what hobbies we had in common, and shared everything about our lives…",,,,
,,good,,"Like soulmates, we can also talk about our dreamsand our future, and what's depper in our hearts…",,,,
,,g,,"Though we have a good time togeter, we still sometimes fight…",,,,
,,good,,Luckilly we can always forgive each other. Those fights give us chances to know each other on some depper levels…,,,,
,,g,,I hope you will always be there as a listener for me…,,,,
,,bad,,"Maybe I shouldn't be upset about those little things in my life, because I know I can handle them…",,,,
,,,,"But I still want you to stay with me, to hear me out and share my feelings…",,,,
,,,,"I want you to know that I need more than cold advice, like in the way that people treat their jobs…",,,,
,,g,,We are not perfect…,,,,
,,bad,,"I believe that neither of us should concede to the other, because one-sided consession won't last long…",,,,
,,,,But sometimes I just want you to tolerate my shortcomings…,,,,
bad end,,g,,Did my sudden letter scare you?,,,,
,,,,I have never shared my feelings like this before…,,,,
,,,,And this will be the first and last time…,,,,
,,,,"Sadly, we couldn't make it…",,,,
,,,,But I don't regret our relationship because I have learned a lot from it…,,,,
,,,,I wish you all the best. Goodbye.,,,,
